entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
0,1.1554377,0,1.3295902,0.88989395,0.9288246,1219811.5,3.6098385,1.5681719,1.2041297,1.7781885,55454.4,0.0,0.0,4.6539135e-08,1.0412789583206177,0.9681562185287476,0.9656720757484436,1.0,3426,2016,39020.137,65184.87,1.3295902,2.048432,34500.504,0.17415246,-1.6473249,-2,108046.875,40182.984,2.833694,6,2,99685.375,495748.25,128011.97,98597.164,0.9955193,0.9434368,0.0015350570721063938
1,-0.8807678,1,0.46321717,0.41445702,0.78803766,595484.6,0.41445702,2.3409073,0.6190725,2.9253151,32421.223,0.0,0.0,4.6598483e-08,1.1827723979949951,0.9751498699188232,1.170896053314209,1.0,512421,2015,42094.938,40491.316,-0.41755068,-0.65665025,33267.367,0.46321717,1.3286525,2,69952.875,40758.508,2.1719067,5,1,73758.69,225793.92,68017.41,42586.082,0.63602144,1.0039873,0.0014496533816108841
2,0.21266569,1,0.16889134,1.0675852,1.0432225,706014.3,3.1051798,1.7301271,0.65822923,1.7663583,47005.58,1.0,3.0,5.0712146e-08,1.0069043636322021,0.9746572971343994,0.9386363625526428,1.0,3010265,2016,38622.137,80014.03,0.043774348,-1.9746306,30102.22,-0.16889134,2.1294956,-2,87631.836,67495.445,2.189412,4,1,110116.25,236623.58,126511.66,47005.58,0.9603683,0.9419447,0.0015244537986750086
3,0.33267725,2,1.3237612,0.64210993,0.48824888,840194.9,2.7418354,2.7418354,1.3602823,2.3606398,138765.58,4.0,0.0,4.653575e-08,1.2920582294464111,0.9952034950256348,0.9548366069793701,1.0,503209,2015,71650.3,35063.797,1.3237612,3.133612,21472.625,0.991084,0.7678013,2,51622.734,24810.799,2.3890865,5,1,56536.42,353416.28,138765.58,85941.805,0.9898351,0.9465049,0.0019310653990878281
4,0.21998453,3,1.9134886,1.1766038,1.0578953,1365021.2,1.6569369,1.927142,1.7718354,1.2540114,157836.39,0.0,4.0,4.656055e-08,0.8592594265937805,0.965140700340271,0.938636302947998,1.0,81013,2016,18787.943,45864.24,1.9134886,-1.6473318,37818.145,1.6935041,-2.0653899,2,19572.355,81877.88,0.47240418,7,1,83682.38,543441.94,176302.6,157836.39,0.9932494,0.9651232,0.0012533517777729647
5,-0.356218,3,0.7119417,0.855949,0.8628515,1368855.8,2.2496638,0.928965,0.83673334,1.7053299,116665.78,2.0,4.0,4.9062628e-08,1.128219723701477,0.9674437046051025,1.3408091068267822,1.0,3938285,2015,34476.64,74342.945,-0.7119417,0.7416061,48178.867,-0.3557237,0.11866909,2,42484.16,116901.92,0.71759444,6,2,122521.81,438823.97,128014.84,116665.78,0.9753626,0.97471255,0.00246252885018214
6,-2.2489636,1,1.5530686,1.2914596,1.4948407,655335.0,2.727442,1.8609345,1.071773,2.671993,82168.87,4.0,3.0,4.6524725e-08,1.2001714706420898,0.9854888319969177,0.9386363625526428,1.0,1915510,2015,30559.307,55662.72,-0.6958949,-1.436637,22430.469,1.5530686,2.40889,2,117766.05,41206.004,3.316627,5,2,78093.19,251346.08,82168.87,66796.03,0.94791675,0.9759889,0.0017238235457482886
7,-1.3006759,0,1.0928671,0.7543619,0.7533972,1204760.6,2.4878924,2.4233518,0.43335953,2.633525,34884.523,0.0,0.0,4.6761595e-08,0.9768399596214294,0.9775962233543396,0.9535744786262512,1.0,2148753,2016,14944.645,63679.406,-1.0928671,1.7020563,44032.64,0.2078088,-2.8564262,-2,109173.78,71653.64,2.1601753,6,1,107712.05,497093.88,150844.66,145224.2,0.9925686,0.9630278,0.0014683437761016647
8,1.3920242,3,1.760181,0.49829617,0.66861266,1191904.0,3.8995838,2.7231154,0.67830914,2.107188,87279.68,0.0,3.0,4.6527756e-08,1.128219723701477,1.0502309799194336,0.9462180137634277,1.0,3170263,2016,23719.318,106623.93,1.760181,3.0453575,21234.553,0.3681568,1.5321454,-2,97009.54,109909.87,2.0560987,7,2,127858.484,458146.22,89204.89,87279.68,0.9977584,0.9357053,0.0017569032010043965
9,0.68553114,3,0.92711127,0.3833957,0.5226353,1381031.2,3.004903,1.9118154,1.013672,0.40356374,126485.48,0.0,0.0,4.657159e-08,1.1934136152267456,0.9988507628440857,0.9633309841156006,1.0,2441903,2016,14616.682,77823.76,-0.24158016,-2.2726853,40749.473,-0.92711127,-2.091014,-2,40670.18,118132.266,0.7091949,5,1,118573.234,473616.78,129884.45,128162.6,0.9828737,0.9420962,0.0017864162068847505
