entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
0,-1.1746444,1,1.7296379,1.1729051,1.4752002,947944.56,2.155633,2.5565622,0.9901857,1.7307703,49612.883,0.0,0.0,2.2506862e-08,1.1027798652648926,0.9676856398582458,0.9899280071258545,1.0,8097299,2017,41394.918,67060.63,-1.7296379,-2.38482,49419.793,-0.5549935,-1.3482606,2,91524.12,101560.055,1.566603,5,1,116480.42,319236.44,154409.66,60391.73,0.9962132,0.95961636,0.0009958674848965319
1,-2.3620152,3,1.7491969,0.8297974,0.6002105,838786.25,2.6658227,2.665823,0.9590812,2.7862434,116538.42,3.0,4.0,-6.0694006e-08,0.06808633357286453,0.9731668829917908,0.945120096206665,1.0,8093736,2017,76001.086,47106.098,-0.6128185,0.6281686,45077.34,1.7491969,-0.36439136,-2,142875.56,81068.18,2.5620873,5,2,92183.44,325850.3,116538.42,80680.586,0.9808844,0.96105427,-0.0001569841222394347
2,0.31831348,3,1.1699177,1.5687737,1.9408371,1451210.8,3.4494426,3.4494426,0.39582545,2.5110989,200700.92,4.0,0.0,1.3056032e-07,0.8139334917068481,1.0324130058288574,1.0,1.0,8093766,2017,29016.025,122513.414,1.1699177,-3.073751,42183.855,0.8516042,1.6292645,2,104695.81,129198.02,1.611912,4,2,164697.27,531284.8,200700.92,160332.88,0.97472847,0.94428927,0.004424378121703388
3,-1.2857883,1,0.9881713,3.0322933,0.80262125,1653660.8,3.2238357,3.0322933,2.0196562,2.846812,109738.88,0.0,0.0,8.055111e-08,0.9489719867706299,1.016120195388794,1.0,1.0,8094194,2017,374422.94,198685.12,-0.29761708,-1.1073402,140012.7,0.9881713,1.3962588,2,391173.06,119944.375,2.8144734,4,2,338697.8,467887.97,135914.2,124387.11,0.94431573,0.9585358,0.003080388525517925
4,-1.3790745,3,2.325052,0.8294569,1.055333,748875.5,1.1156697,0.8294569,1.4501547,1.9430997,25663.377,2.0,0.0,8.055111e-08,1.1115391254425049,0.9128938913345337,0.9115211367607117,1.0,8106080,2017,74552.11,63490.406,0.94597757,-2.1253896,35206.72,2.325052,2.7002,2,94523.875,75996.95,2.006597,5,1,98697.125,274074.78,110328.34,58827.62,0.9845988,0.95878977,0.0030815978383304035
5,-0.38721263,1,0.34850353,1.1141435,1.044403,458020.0,1.1141435,2.613323,1.0060259,2.6411798,38688.504,0.0,4.0,8.055111e-08,1.0306944847106934,0.9661595821380615,0.9439700841903687,1.0,8097290,2017,87009.9,31360.541,-0.0387091,-1.8228514,30148.174,0.34850353,-2.556008,-2,25087.902,57423.67,0.82912743,4,1,61508.715,212597.25,98278.086,38688.504,0.9235363,0.9439525,0.0028921620547383846
6,0.7803253,2,1.8423694,0.92312026,0.693041,951830.6,0.92312026,2.7731395,0.53697693,1.2947438,126493.3,0.0,4.0,1.3664717e-07,1.0253530740737915,1.0002729892730713,0.9743653535842896,1.0,8094098,2017,27701.37,45462.79,1.8423694,-1.2944778,20801.797,1.0620441,-2.708881,-2,46930.766,52860.004,1.6153772,4,1,66264.586,392319.5,140907.22,126493.3,1.0262824,0.94054645,0.00577525998058925
7,1.0943896,0,1.5938286,1.9218341,1.2638054,1456868.2,2.2014337,1.9218341,0.05523154,2.7147465,177359.9,4.0,2.0,1.5015512e-07,1.1394327878952026,0.9985686540603638,0.9743653535842896,1.0,8097404,2017,54682.31,70274.086,1.5938286,1.8345551,38479.25,0.49943897,-3.025457,-2,90486.47,84938.664,1.7953024,6,2,108753.336,578667.9,177359.9,124198.11,0.99224067,1.0142354,0.0073399705685520235
8,0.637278,1,0.8447688,0.72877103,0.7183824,2739728.8,3.4055402,0.97703636,0.1949506,2.9759371,124475.13,0.0,4.0,1.17162884e-07,0.1189015805721283,0.9963697791099548,1.2030973434448242,1.0,8093883,2017,286386.44,195193.55,0.8447688,1.2410538,121466.33,0.2074908,-0.8673325,2,285761.9,169035.27,2.202593,6,1,316659.88,1009227.94,614386.8,124475.13,0.97761536,0.9766029,0.0006985459111846329
9,-0.6913549,1,0.76484656,0.66286874,1.3023757,2115566.0,2.5240705,3.0772233,0.68267274,2.4132926,105952.53,0.0,0.0,8.055111e-08,0.8453875780105591,0.9829084873199463,1.0,1.0,8210709,2017,247263.73,60564.652,0.07349167,-1.8419228,33040.812,0.76484656,-0.3073074,2,69660.94,70032.45,1.6831565,5,1,93605.47,914750.75,417826.8,185844.44,0.34916487,0.92736804,0.000949583334176834
